Date     	Time	        Published message
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:49	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:50	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
15.12.2022	15:28:51	linear.x = 0.3, angular.z = 0
